Wines,Fruits,Meat,Fish,Sweet,Gold,ID
635,88,546,172,88,88,5524
11,1,6,2,1,6,2174
426,49,127,111,21,42,4141
11,4,20,10,3,5,6182
173,43,118,46,27,15,5324
520,42,98,0,42,14,7446
235,65,164,50,49,27,965
76,10,56,3,1,23,6177
14,0,24,3,3,2,4855
28,0,6,1,1,13,5899
5,5,6,0,2,1,1994
6,16,11,11,1,16,387
194,61,480,225,112,30,2125
233,2,53,3,5,14,8180
3,14,17,6,1,5,2569
1006,22,115,59,68,45,2114
53,5,19,2,13,4,9736
84,5,38,150,12,28,4939
1012,80,498,0,16,176,6565
4,17,19,30,24,39,2278
86,2,73,69,38,48,9360
1,1,1725,1,1,1,5376
867,0,86,0,0,19,1993
384,0,102,21,32,5,4047
270,3,27,39,6,99,1409
6,4,25,15,12,13,7892
173,4,30,3,6,41,2404
5,1,3,3,263,362,5255
36,2,42,20,21,10,9422
684,100,801,21,66,0,1966
8,4,10,2,2,4,6864
112,17,44,34,22,89,3033
110,0,5,2,0,3,5710
96,12,96,33,22,43,7373
482,34,471,119,68,22,8755
40,0,19,2,1,3,10738
702,17,151,0,8,35,4339
6,3,14,15,7,36,10755
55,0,6,2,0,4,8595
437,8,206,160,49,42,2968
421,76,536,82,178,102,8601
13,1,29,3,0,7,503
9,0,6,3,1,3,8430
81,11,50,3,2,39,7281
3,1,10,3,2,12,2139
123,164,266,227,30,174,1371
3,18,14,15,22,50,9909
13,6,15,3,5,13,7286
48,5,48,6,10,7,7244
826,50,317,50,38,38,6566
245,19,125,37,67,14,8614
650,37,780,27,167,32,4114
12,6,20,30,1,3,1331
510,120,550,156,40,241,2225
328,9,124,12,24,109,9381
984,51,432,180,120,190,6260
295,35,482,121,120,40,10383
13,0,8,2,1,5,7437
11,3,22,2,2,6,8557
447,0,28,0,0,43,8375
712,26,538,69,13,80,6853
452,18,102,16,18,6,3076
523,7,134,37,14,169,1012
546,0,48,0,6,6,6518
398,40,367,119,122,30,4137
1,3,6,3,6,15,8082
10,0,1,0,0,0,1386
688,14,309,201,24,38,9369
247,49,159,7,82,109,4477
856,59,487,58,29,73,1357
496,36,460,189,60,12,1402
25,3,43,17,4,17,10629
258,107,291,84,37,86,6312
565,6,65,0,6,19,8132
14,10,13,4,15,9,1050
2,1,6,2,1,1,5846
721,111,925,97,18,18,1859
1032,105,779,137,105,51,7503
1,0,5,0,3,9,10401
577,0,64,0,0,51,1618
64,4,68,7,5,17,3332
4,1,5,2,0,4,2261
25,5,19,7,0,23,5346
112,17,44,34,22,89,4119
163,23,424,27,65,76,535
17,8,14,10,4,3,5268
130,0,16,0,0,5,273
292,6,37,0,3,34,4452
350,60,568,110,133,145,8504
135,9,39,4,0,7,771
230,42,192,49,37,53,8996
7,0,8,2,0,1,9235
445,37,359,98,28,18,5798
15,2,10,0,1,4,11178
27,2,14,0,0,0,2230
5,3,11,12,5,9,7516
505,0,26,0,0,75,7247
51,2,7,0,1,2,11100
207,26,447,75,0,223,4646
135,46,92,65,61,11,3037
53,1,5,2,1,10,1473
41,1,6,2,0,5,1016
386,172,183,185,132,111,4518
562,81,276,80,40,81,9370
217,76,690,50,26,38,8908
1,3,6,10,0,9,8373
144,1,32,2,1,7,7533
295,106,271,75,98,65,2683
76,3,31,4,4,27,3629
454,194,106,31,22,43,10991
425,115,292,23,35,79,5077
1332,17,311,23,51,86,7431
527,0,21,0,0,60,3267
490,44,125,29,20,22,999
378,0,101,0,0,72,9215
64,1,21,0,1,27,2286
547,99,812,151,82,33,1592
47,90,94,123,103,120,367
12,5,25,0,9,30,5234
1,6,7,11,5,3,9862
320,48,133,39,72,48,9805
34,3,29,0,4,10,6205
9,0,7,3,4,7,8442
17,0,14,7,3,2,7386
722,27,102,44,72,168,7215
162,33,124,40,28,172,1491
450,133,951,173,0,216,11071
70,0,16,0,0,4,3381
352,0,27,10,0,15,8268
492,19,110,16,12,12,11051
120,58,73,65,89,58,8026
534,5,47,0,5,41,433
236,106,189,23,41,130,9597
231,65,196,38,71,124,1295
220,0,33,3,0,23,5290
796,14,590,38,44,0,1685
0,1,3,10,6,9,5342
53,1,34,2,0,16,9579
15,0,8,4,2,20,7660
17,1,12,3,1,4,1461
962,61,921,52,61,20,821
738,0,232,13,20,50,11084
399,28,756,36,40,126,8690
614,16,132,43,33,33,2937
32,34,41,73,16,116,9701
598,16,141,32,41,49,9949
2,1,18,20,11,16,10837
6,1,10,0,1,4,3120
73,3,90,12,1,32,5885
42,16,29,12,20,8,4050
295,21,78,39,13,13,3830
346,17,48,23,13,13,7987
233,20,57,8,20,91,7798
5,7,24,19,14,20,92
888,0,57,0,0,76,7055
997,26,269,34,13,42,10240
212,6,69,4,12,3,3025
8,1,7,2,0,0,9283
42,11,57,10,28,14,9970
536,11,387,149,91,57,2730
5,0,3,0,0,5,2795
1349,16,249,43,16,33,9260
53,3,49,7,4,5,8182
1001,12,240,16,12,12,10095
20,2,1582,1,2,1,8475
18,1,32,6,3,28,4370
125,16,98,134,21,27,10573
212,5,33,7,0,2,3712
277,162,305,173,76,124,6637
15,10,19,8,17,20,3152
7,3,10,8,1,7,5610
12,4,6,11,8,16,6460
85,7,24,2,3,27,1349
81,0,6,0,0,6,1880
59,0,12,0,0,48,641
1149,71,449,69,71,26,8717
847,66,119,86,89,111,10314
29,0,14,0,0,2,10854
2,0,5,2,0,1,10492
207,26,447,75,0,223,6935
152,3,22,2,5,7,7698
12,11,10,3,12,9,3559
620,26,195,34,17,141,10562
47,1,6,0,0,12,10796
1,9,7,2,14,10,2563
10,1,18,10,4,7,3518
35,0,2,0,0,2,5823
356,0,107,19,9,117,3934
783,30,537,140,76,15,6982
42,1,18,3,0,4,6431
1,4,10,29,0,36,9733
466,22,432,147,113,102,5602
15,6,8,7,4,25,7829
23,3,21,3,19,22,1324
235,6,45,8,9,12,326
10,0,10,3,1,7,7224
656,16,106,32,16,8,6999
519,17,813,27,173,51,9938
344,189,482,50,33,172,6422
96,1,79,7,1,79,3182
448,4,34,6,4,39,7300
265,138,553,224,23,92,10424
587,43,337,42,87,54,8727
763,29,138,76,176,58,2798
22,0,13,0,0,3,1030
6,4,1,7,2,15,624
7,6,13,7,6,14,5176
81,18,113,47,13,21,5552
54,0,7,0,0,4,868
1170,48,320,42,32,192,380
72,24,68,65,4,8,2677
613,22,319,33,102,12,6521
224,0,30,0,0,10,6927
410,0,59,19,9,44,2877
239,10,554,254,87,54,0
171,7,171,25,19,89,1584
12,0,4,0,0,1,7264
1076,16,417,42,48,16,6274
182,4,33,0,0,66,1377
824,32,162,42,32,43,454
30,11,25,29,1,18,1755
377,10,540,80,30,10,2075
520,7,154,19,0,14,4785
155,1,25,0,1,3,9076
897,23,207,15,11,92,7079
131,0,16,2,1,39,4653
297,7,79,0,11,182,7375
787,20,204,0,0,92,709
792,86,740,67,51,17,460
4,1,9,3,0,0,3726
231,7,137,4,15,39,6798
983,76,184,180,138,27,5341
3,1,8,4,3,3,1606
0,4,5,6,0,4,9617
562,21,464,28,10,32,3233
5,9,20,6,8,21,89
18,0,4,0,0,1,2936
415,5,124,15,35,11,9449
5,3,10,12,7,20,7297
8,0,5,7,0,2,11004
901,61,757,186,163,20,313
382,114,276,75,124,38,9940
14,1,7,2,1,1,10735
559,153,503,218,13,181,9529
789,0,133,0,28,152,6439
11,0,5,0,0,1,7411
1218,16,272,104,0,80,2176
925,64,179,133,12,77,9265
864,134,768,150,38,172,8867
960,28,183,220,70,70,8932
16,3,25,6,1,13,10236
3,3,7,0,2,11,6340
168,148,444,32,172,148,10089
45,47,52,21,20,25,2227
650,28,353,45,42,30,10992
24,0,8,0,0,1,5304
918,21,118,13,10,21,309
138,33,87,28,24,12,3406
12,4,2,10,6,10,2661
11,0,4,0,0,2,3153
1,2,8,4,3,13,10264
554,41,215,11,0,24,1184
167,2,62,24,13,7,4200
9,0,6,4,1,5,9396
177,2,71,3,2,20,2387
38,4,22,4,2,20,6690
483,84,398,205,84,241,1225
77,2,35,0,1,69,9703
182,74,298,162,149,116,291
10,7,19,8,2,21,4557
778,44,499,95,73,146,2379
16,7,23,0,8,6,5726
167,0,43,6,2,13,3066
13,2,14,8,7,4,6336
33,6,40,3,7,10,10967
625,7,99,10,22,7,2304
